Function Input,value,Time
LinearTailRecursiveOddonacci(0),1,900 ns
LinearTailRecursiveOddonacci(5),5,2200 ns
LinearTailRecursiveOddonacci(10),105,1000 ns
LinearTailRecursiveOddonacci(15),2209,1200 ns
LinearTailRecursiveOddonacci(20),46499,1400 ns
LinearTailRecursiveOddonacci(25),978793,1000 ns
LinearTailRecursiveOddonacci(30),20603361,1100 ns
LinearTailRecursiveOddonacci(35),433695873,1200 ns
LinearTailRecursiveOddonacci(40),9129195487,3900 ns
LinearTailRecursiveOddonacci(45),192167404461,2500 ns
LinearTailRecursiveOddonacci(50),4045078385041,2700 ns
LinearTailRecursiveOddonacci(55),85147942685809,3000 ns
LinearTailRecursiveOddonacci(60),1792344042191491,3700 ns
LinearTailRecursiveOddonacci(65),37728417907092161,5200 ns
LinearTailRecursiveOddonacci(70),794174268033812681,3900 ns
LinearTailRecursiveOddonacci(75),16717180390659349953,2400 ns
LinearTailRecursiveOddonacci(80),351892690889787253855,2400 ns
LinearTailRecursiveOddonacci(85),7407257863344225493589,2500 ns
LinearTailRecursiveOddonacci(90),155921025001509181969177,2800 ns
LinearTailRecursiveOddonacci(95),3282100675585926834100161,2900 ns
LinearTailRecursiveOddonacci(100),69087442470169316923566147,3100 ns
LinearTailRecursiveOddonacci(105),1454274313574143091410958425,3300 ns
LinearTailRecursiveOddonacci(110),30612130128202760163387793233,3400 ns
LinearTailRecursiveOddonacci(115),644378094448302275839478182465,3600 ns
LinearTailRecursiveOddonacci(120),13564006387856124695883840583423,3800 ns
LinearTailRecursiveOddonacci(125),285519124369555123649563518227581,3200 ns
LinearTailRecursiveOddonacci(130),6010109996242962023612557201545089,3300 ns
LinearTailRecursiveOddonacci(135),126511393051859613744209148591257873,3500 ns
LinearTailRecursiveOddonacci(140),2663034883209664405775654241136188003,3600 ns
LinearTailRecursiveOddonacci(145),56056254050451055097056560769652751025,3800 ns
LinearTailRecursiveOddonacci(150),1179970881335733681057707639552435217401,4000 ns
LinearTailRecursiveOddonacci(155),24838107796984068021714692645611928504449,4200 ns
LinearTailRecursiveOddonacci(160),522836290872051613192163309758172586561855,4300 ns
LinearTailRecursiveOddonacci(165),11005580186991403678738201905206788681520805,4500 ns
LinearTailRecursiveOddonacci(170),231664858325488512934716118011746346827003209,4600 ns
LinearTailRecursiveOddonacci(175),4876490441313122226920968843461638244635150049,4800 ns
LinearTailRecursiveOddonacci(180),102648969706088046681953800032611356272846675043,5000 ns
LinearTailRecursiveOddonacci(185),2160736519127487591060885485646311866321242329161,5200 ns
LinearTailRecursiveOddonacci(190),45482992361824640581187469967448622187263570737473,5400 ns
LinearTailRecursiveOddonacci(195),957406225087151027842679708602099989155129074491137,5600 ns
LinearTailRecursiveOddonacci(200),20153174455711123712868522236097194706311295377380511,5700 ns
